,Products
216,Imboost Herbal Mixture 500ml
217,DNA Isolation (Geneproof) kits
218,XBC Olive Cream 500ml
219,Fiesta Dotted condom ( 3pieces)
220,Dexel 2mg Tablets
221,Diazepam (Aspee) 10mg Tablet
222,Adutwumwaa Malamix 500ml
223,Lerzin 10mg Tablets
224,Sebamed Baby Shampoo 150ml
225,Osteocare Plus (60 Doses) Tablets
226,Dalacin-C 150mg Capsules
227,bisacodyl (gml) 5mg tablet
228,Letavin 125mg tablet
229,Normal Saline 0.9% (Otsuka) 500ml Inf
230,Anthisan 2% Cream 25g
231,Jarifan-2 (30 Doses) Capsules
232,Garlic Pearls (Osons) Softgels
233,Hyoscin Butylbromid(Pharm Inter) IV
234,Loratadine (Almus) 10mg Tablets
235,Pregnacare Plus (56 Doses) Tablets
236,Adutwumwaa Malakare
237,Metrolex-F Junior 100ml Suspension
238,Vigomax Forte (30 Doses) Tablets
239,Mycolex-3 Cream
240,Colestop 20mg Tablets
241,DIAPER RASH OINTMENT 28G(ZINC O
242,Excedrin Extra Strength Caplets
243,Orji 0.5mg Tablets
244,Stopkof Cold & Catarrh 100ml Syrup
245,POSTINOR-2 (WHITE) TABS
246,Fiesta Vibe condom (6 pieces)
247,Insulatard Vial 100IU/ml
248,Nostamine 0.05% Eye Drops
249,Cefunat 125mg/5ml 50ml Suspension
250,Envither(Artemether 80mg/1ml) Injec.
251,Centrum Adult (130 doses) Tablets
252,Clodol-100 Suppository
253,Pregnacin plus capsule
254,Apflu 100ml Syrup
255,Pinpac extra 50mg/500mg tablet
256,HPV Diagnostic Kit (Sansure)
257,Nair Hair Removal Cream 90ml
258,Apdyl-H 100ml Syrup
259,DIPHEX ORIGINAL 100ML
260,artemether (ciron) 80mg/2ml inj
261,Betaloc Zok 25mg Tablets
262,HEXTRA CALCIUM + VIT D 30'S
263,No Mo Repellant
264,STREPSILS (E
265,CANESTEN CREAM 20MG
266,Vielung Acrylic (Original) 200g
267,Atacand 32mg Tablets
268,Bell's Teething Mixture 100ml
269,Kefstar 125mg/5ml 100ml Suspension
270,Durex Feels condom (3 pieces)
271,FML-Neo Eye Drops
272,Tylenol PM 240ml Syrup
273,Nexcofer 200ml Syrup
274,Femfresh Daily Intimate Wash 250ml
275,Bioquick Pregnancy Test Kit
276,HIV -1 Real time RT-PCR kit
277,Prednisolone (Teva) 5mg Tablets
278,Entracin(Clindamycin) 300mg caps
279,Silvederma Jar 500g
280,Clopidogrel (Almus) 75mg Tablets
281,CHILDREN PLUS COUGH RUNNY SYR CHERRY
282,Metro-Z 100ml Suspension
283,Letamol (paracetamol) 125ml Elixir
284,Enafen 100mg/5ml Suspension
285,Stamlo 5mg Tablets
286,Bisoprolol(Medreich) 10mg Tablet
287,Aveeno Baby Shampoo
288,Tritace 2.5mg Tablets
289,Gsunate-120(Artesunate) 120mg IV/IM
290,Gastrone Plus 100ml Suspension
291,Warfarin (Almus) 5mg Tablet
292,Aqueous Cream (Pinewood) 100g
293,DOLOPLUS TAB 10'S
294,Corvite 1000mg Effervescent Tablets
295,Dermomed (Extra Hydration) 300ml
296,Methyl Salicylate (Dannex) Ointment
297,Cetapol PM 120mg/5ml Syrup
298,Chocho Cream
299,Nugel Suspension
300,IBUPROFEN 400MG TAB UK
301,Savlon 250ml
302,Ibuprofen 100mg/5ml 150ml Suspension
303,Allopurinol (Bristol) 300mg Tablets
304,Morgans Antibacterial Soap 80g
305,Fiesta Strawberry 40ml Gel
306,BEST HEALTH MENTHOL COUGH LOZENGES (HONE
307,Ibuprofen (Assured) 200mg Tablets
308,Forever Artic Sea Capsules
309,Luex Baby Cough 100ml Syrup
310,Enacin-C 300mg Capsules
311,Bench Top Centrifuge
312,Maib Control (Maccura)
313,Zoxon 1g Injection
314,Ibuprofen (galpharm) 200mg tablet
315,Livertone Junior Blood Tonic 100ml
316,Artesun 120mg IV
317,Atenolol (ECL) 50mg Tablet
318,Axadex D5(Dextrose) 5% 500ml Infusion
319,Artenate-30(Artesunate) 30mg IV/IM
320,AQAUAFRESH BIG TEETH 50ML
321,Robb Jar 23ml
322,Durex Fetherlite Condom (12 pieces)
323,Vigorix (30 Doses) Capsules
324,Agbeve Herbal Tonic 330ml
325,mentat tablet
326,Lemsip Cold & Flu (Lemon) Sachet
327,Ramicol 1% Eye Drop
328,Cerelac Fruit 400g
329,HYDROXYCHLOROQUINE 200MG TAB
330,Ringers Lactate (Blue Map) Inf. 500ml
331,Flagyl 100mg/5ml Suspension
332,Dynewell (10 Doses) Tablets
333,valupak even.primrose(30 doses) 500mg
334,GEBEMOL-250MG SUPP
335,OMEPRAZOLE(DR REDDY'S) 20MG
336,KIDIMIN 200ML
337,Camel Antiseptic Original 500ml
338,Coldrilif (10 Doses) Capsules
339,Neovita (30 Doses) Capsules
340,Paidoterin 100ml Syrup
341,Master Plast Heat Spray 150ml
342,Cororange Plus 200ml Syrup
343,ALBEN SUSPENSION
344,SUDAFED SINUS MAX STRENGTH CAPS 16'S
345,Aveeno Baby Wash 500ml
346,Silvederma 50g Cream
347,Oxytetracycline(letap) 250mg Caps
348,Plaquenil 200mg Tablets
349,Durol Tonic 300ml Syrup
350,Dulcolax 5mg Tablets
351,Benylin Chesty Coughs & Cold Capsules
352,Losartan (Teva) 25mg Tablet
353,Spanish Fly
354,10ul filter pipette tips
355,Bell's Calamine Lotion 100ml
356,Bonaplex 100ml Syrup
357,Gentamycin(Vega) 80mg/2ml Injection
358,Tenofovir (Ricovir) 300mg Tablets
359,Azirocin 200mg/5ml 15ml Suspension
360,Livertone Tonic 200ml
361,Novacip (Ciprofloxacin) 100ml I.V
362,prosluv (20 doses) capsule
363,Murine Plus 15ml Eye Drops
364,Scorpion Balm (Tube) 30ml
365,DOMI-30 SUPP
366,Dettol Antiseptic 500ml
367,salicylic acid (pr & winning) 6% oint
368,Johnsons Baby Lotion 200ml
369,Listerine(Fresh Burst)250ml Mouthwash
370,Sensodyne Original Toothpaste 75ml
371,orther-80 1ml injection
372,Paracetamol (ayrton) 500mg caplet
373,ALLOPURINOL 300MG
374,Duotrav Eye Drop 2.5ml
375,Finelife Blood Tonic
376,Astyfer 200ml Syrup
377,Kingdom Garlic Syrup
378,Asomex 5mg Tablets
379,Covid-19 RDT (Genbody)
380,Actifed Cold (12 doses) Tablets
381,Nat B (30 Doses) Capsules
382,Welch's Drink 295ml
383,Inopril 10mg/12.5mg Tablets
384,Lisinopril (Vega) 10mg Tablets
385,Samalin Adult Non Drowsy 5% Syrup
386,Sertraline (Tilomed) 50mg Tablets
387,Sebamed Face & Body Wash 200ml
388,Wormplex-400 Tablet
389,"Elastic Bandage 2"""
390,HS-CRP Assay Kit (Maccura)
391,Asmadrin (4 Doses) Tablets
392,Tamsulosin (Exeter) 400mcg Caps
393,1st Aid Pregnancy Test Kit
394,Amoxicillin (Vega) (21 doses) 500mg
395,Paramol Suppository 1g
396,Sabroso Olive Oil (Plastic) 100ml
397,SUDAFED MUCUS RELIEF (16 DOSES) TABS
398,PANADOL EXTRA ADVANCE TABS 32'S
399,Sample Storage Reagent (24's)
400,Diclofenac (Sandoz) 75mg Tablet
401,BEECHAMS ALL IN ONE COUGH SYR 160ML
402,Vitamin B-Denk Tablets
403,Artemether (Lavina) 80mg/ml Inj
404,Azitex 200mg/5ml 15ml Suspension
405,Augmentin 1.2g IV
406,Moniflu (Fluconazole) 150mg cap.
407,Paradis Powder 450g
408,Zathenza (B. BenzylPeni.) 2.4MIU Inj
409,DIPHEX ANTITUSSIVE
410,metronidazole (letap) 200mg tablet
411,Viagra 100mg Tablets
412,Enafen 400mg Tablets
413,PROMETHAZINE 25MG TAB (ECL) 10'S
414,Pampers Size 3 (50 Pieces)
415,Pharmaderm Cream 75g
416,PANADOL ACTIFAST (14 DOSES)
417,Ramizid HCT 2.5mg/12.5mg Tablets
418,Rooter Tytonic Mixture 750ml
419,Erotica Condom (3 pieces)
420,BEAUTY FORMULAS FEMININE DEODORANT SPRAY
421,Flagyl Infusion 100ml
422,Amoxycillin (M&G)125mg/5ml 100ml Susp
423,3CP Antiseptic Liquid 200ml
424,ACETAMINOPHEN 500MG (ASSURED) 40'S
425,Zinnat 500mg Tablets
426,Zintab 20mg (10 doses)
427,Atacand Plus 32mg/12.5mg Tablets
428,Atenolol (Teva) 50mg Tablets
429,"Zinc Oxide Plaster 2"""
430,City blood tonic 200ml syrup
431,Zurion (100 Doses) Tablets
432,Listerine(Fresh Burst)500ml Mouthwash
433,VIT C 1G +ZINC (BASIC NUTRITION)
434,PINK BISMUTH (ASSURED) 118ML
435,"Crepe Bandage 3"""
436,Colgate Herbal Toothpaste 100ml
437,First Call Fabric Plaster
438,Gentamicin (Troge) 80mg/2ml IV
439,Lavinac 100mg suppositories
440,Rapid Malaria Test Kit( Healgen )
441,Topamax 50mg Tablets
442,Olay Soothing Body Lotion 600ml
443,HEALTHAID GASTONE CAPS (60 DOSES)
444,O'Yes Feminine Wash
445,Vitacee 500mg Tablets
446,carbamazepine(pharm-inter) 200mg
447,Kinagen 5mg/ml 60ml Syrup
448,Sinemet Plus 25mg/100mg Tablets
449,Jaguar Balm (Tube) 75ml
450,Medrone 2mg Tablets
451,Fosmol 3g Sachet
452,EXIFEN SUSP (STRAWBERRY)
453,Doreta 37.5mg/325mg Tablets
454,Gentiron 10ml eye/ear drop
455,Scipette Pipette 0.1-2.5ul
456,ZOFLORA 120ML
457,BELL'S BABY GRIPE MIXTURE 100ML
458,Paradis Powder 180g
459,NANA ADJEI
460,Confido (30 Doses) Capsules
461,ALLERGY RELIEF TABS (LORATADINE 10MG) 5'
462,SYMBICORT TURBUHALER 160/4.5MCG (60 DOSE
463,diazepam 10mg (pokupharma) tablet
464,Epiciprin 0.3% 5ml Eye Drops
465,Orelox 100mg Tablets
466,MUSCLE AND JOINT VANISHING SCENT GEL 57G
467,Lactacyd Feminine Hygiene Wash
468,Comit-50 Tablets
469,Trandate 100mg Tablets
470,Itraconazole(Univers Farma)100mg Cap
471,CYFEN 200ML
472,Dove Body & Face Wash 400ml
473,Beauty Formula Charcoal T.paste 125ml
474,Carefree Pantyliner (34 Pieces)
475,Co-amoksiklav (Vega) 457mg/5ml Susp
476,Del'C (Vitamin C)100ml Syrup
477,Amiderm 30g cream
478,Dragon (Intimate) Jelly 50ml
479,Diclo-Denk 100mg Rectal
480,Lawson Herbal Mixture 350ml
481,Transparent Plasters (PMS)
482,Co-Diovan 80mg/12.5mg Tablets
483,Herbal Slimming Tea (21st Century)
484,Tentex Royal (10 Doses) Capsules
485,Fleming 228mg/5ml Suspension
486,20ul filter pipette tips
487,Sudocream 400g
488,Mucolex Junior Cough 125ml Syrup
489,Cetrizan 10mg Tablets
490,HiBaby Hand Sanitizer 90ml
491,Robb Ointment 3.5ml
492,Sebamed Oil Wipes (70's)
493,FOOT POWDER SPRAY(ODOUR FIGHTING) 136G
494,PHILIP MILK OF MAGNESIUM 200ML
495,Shal'aterm 20mg/120mg tablet
496,Gentamycin 80mg/2ml injection
497,Escold (20 Doses) Capsules
498,Lisinopril (Vega) 5mg Tablets
499,Lavina hydrocortisone powder inj
500,Ashton & Parsons Teething Powder
501,Wet & Wild Condom (3 Pieces)
502,Cardiopat (30 Doses) Capsules
503,Bedimox 228.5/5ml Suspension
504,KOFOF CHILD SYRUP
505,Lavet Feminine Wash
506,CYPRODINE SYRUP
507,Mamia Baby Diaper Size 2 Mini (44's)
508,PREGNACARE 19 VIT (30 DOSES)
509,Feromin-12 200ml syrup
510,Diovan 80mg Tablets
511,DYMOL 50MG/325MG
512,Gaviscon 200ml Suspension
513,Atacand 8mg Tablets
514,Tooche Drops
515,Antacid Mixture (Bells) 200ml
516,Pharmaderm Powder 75g
517,Cussons Baby Oil 200ml
518,Zedex D (10 Doses) Capsules
519,Rubbing Alcohol (Remedy) 500ml
520,Novamol 250mg Suppositories
521,Salbutalin 2mg/5ml Syrup
522,Paramol (Paracetamol) 250mg supp.
523,Ronfit Forte Capsules
524,Olfen Gel 50g
525,MALAR 2 FORTE
526,Cerelac Wheat 400g
527,Lonart 20/120mg Disp Tab. (6 Doses)
528,GEBEDICLO 100MG SUPP
529,C-Tri (ceftriaxone) 1g Inj.
530,Stopkof Cold & Catarrh Tablets
531,ENAPHAGE 500MG
532,Delmol 120mg/5ml Syrup
533,wellteen her (30 doses) tablet
534,PROXIMEXA 50ML
535,CALPOL INFANT (2 MONTHS +) SUSP 200ML
536,Bisoprolol (Niche) 5mg Tablet
537,Nexium 40mg/5ml IV
538,Molfix Giant Midi Size 3 4-9kg (90's)
539,Ciprojet 0.3% 10ml Eye/Ear Drops
540,Flagentyl 500mg (4 Doses) Tablets
541,cetapol 500mg tablet
542,Procomil 5mg Tablets
543,HEALTHAID VITAMIN D 500MCG (60 DOSES) TA
544,Odor Eaters Super Turf Shoe Pads
545,Dragon (Sildenafil) Oral Jelly 100mg
546,Parabed (Paracetamol) 120mg/5ml Syr
547,Rapid Care Wrist Support
548,Colgate Optic White Toothpaste 75ml
549,Gericare ( 30 Doses) Capsules
550,Apeti 200ml Syrup
551,zinc oxide (pr & winning) 15g cream
552,"Crepe Bandage 2"""
553,Levothyroxine (Aristo) 50mcg Tablets
554,Leorub Gel 30g
555,ezylax 5mg tablet
556,LEVOTHYROXINE 50MCG
557,Silver Sulfadiazine(Lavina) 50g cream
558,Libido lady (30 Doses) Denk
559,Optrex Itchy Eye Drops
560,PHILIP MILK OF MAGNESIUM ORIG. 118ML
561,loperamide (pharmalink) 2mg capsule
562,Night Nurse Capsules
563,Nitrofurantoin (Mercury) 100mg Caps
564,Human Albumin 200g/L 50ml
565,Hapiman (30 Doses) Capsules
566,KY Jelly 57g
567,Malin Baby Cough Syrup
568,Zycard Plus 16mg/12.5mg Tablets
569,BLOOD GLUCOSE MONITOR
570,Oxy-Pol Eye Ointment 5g
571,Episoft 4% Eye Drop
572,Ferofix 200ml Syrup
573,Adalat LA 60mg Tablets
574,RELCER GEL
575,VALUPAK VITAMIN E 400IU 30'S
576,Exocin 0.3% 5ml Eye Drops
577,Flavours Condom (3 Pieces)
578,Snapple (Mango Tea) 473ml
579,FENAMOL
580,Mist Magnesium Trisilicate Suspension
581,Vaseline Gauze (15cm x 4.5cm)
582,Scorpion Oil 3ml
583,Savlon Antiseptic Soap
584,Centrum Silver Women 50+ Tablets
585,AZIMOX(ACETAZOLAMIDE) 250MG TAB
586,Wormplex-400 Suspension
587,Co-Micardis 40mg/12.5mg Tablets
588,Tushies Premium Baby Wipes
589,Sebamed Baby Sun Cream SPF 50+ 75ml
590,Jaguar Balm 125ml
591,Living Bitters Tonic 200ml
592,Aqueous Cream (Crescent) 500g
593,Excedrin Migraine Caplets
594,Allergy&HayFever Cet.(Crescent) 10mg
595,Metronidazole (M&G) 200mg Tablets
596,Saline 0.9% Nasal Drops
597,Tobradex 5ml Eye Drops
598,Voltfast 50mg Sachet
599,KM Derm 15g Cream
600,PSA Test Cassette (Healgen)
601,ROBB INHALER
602,Vaporizing Chest Rub 113g
603,AQUAFRESH LITTLE TEETH TOOTHPASTE (3-5YR
604,widapain (10 doses) tablet
605,Actrapid 100IU Flexpen
606,VITAMIN B1 INJ 100MG (TROGUE)
607,Losartan (Exeter) 50mg Tablet
608,Dormicum 15mg/3ml IV
609,Bonaplex 250ml Syrup
610,Cartef 20mg/120mg Tablets
611,Roxicef 750mg IV
612,SUDAFED MUCUS RELIEF TABS 16'S
613,AUNTIE MARY BABY GRIPEWATER 150ML
614,Magisil (10 Doses) Tablets
615,Sirdalud 4mg Tablets
616,Jointflex Plus (30 Doses) Capsules
617,PARACETAMOL 500MG
618,Advil PM 200mg/30mg Caplet
619,Crestor 20mg Tablets
620,Odor Eaters Foot Spray 150ml
621,ZINTAB 20MG (10 DOSES)
622,Bactiflox 500mg Tablets
623,Foligrow 200ml Syrup
624,Paracod 8mg/500mg (20 Doses) Tablets
625,Baseboom 50mg Tablet
626,HEP-B VACCINE PEAD. (B.E) 0.5ML VIAL
627,lubriderm 709ml
628,METRONIDAZOLE SUSP
629,Lemsip (Max) Sachet
630,Propranolol (Teva) 40mg Tablets
631,Axacef 250mg Tablets
632,Dove Soap 500ml
633,Tiger (Honey & Lemon) Lozenges
634,Ranitidine 300mg Tablets
635,PCR Tube (Sansure)
636,On Call Lancet
637,Ephedrine (Kosa) 0.5% Nasal Drops
638,Candinil (Fluconazole) 150mg Caps
639,Cosopt Eye Drop
640,DOXYCYCLINE (TEVA) 100MG CAPS
641,Zinvite (30 Doses) Capsules
642,Haemo Forte 100ml Tonic
643,CHILDREN'S PAIN RELIEF SYR GRAPE
644,Co-amoksiklav (Vega) 228mg/5ml Susp
645,Wright's Bar Soap
646,Pure Honey (Honey World) 750ml
647,maalox plus 250ml suspension
648,Epicrom 4% Eye Drops
649,Metformin-Denk 500mg Tablets
650,Florida Water 221ml
651,Aciclovir (Exeter) 200mg Tablet
652,Ferum (30 Doses) Capsules
653,Nodium 2mg capsule
654,Candid TV Shampoo
655,Apetamin 200ml Syrup
656,Buscopan Cramps 10mg Tablets
657,Zaroxolyn 5mg Tablets
658,Amoksiklav 625mg Tablets
659,Exevit-C (vitamin C) 1G DispTablet
660,Warfarin (Teva) 5mg Tablets
661,Ibuprofen(Noumed) 200mg Tablet
662,BENDROFLUMETHIAZIDE(CRESCENT) 5MG
663,Deep Freeze Cold Gel 100g
664,Time Herbal Mixture
665,Cetrizan 5mg/5ml Syrup
666,Metagyl 200mg/5ml Suspension
667,HEXTRA VIT C + ZINC CHEW 100MG/15MG
668,Claritine 10mg Tablets
669,A-L(DS) 40/240mg (12 Doses) Tablet
670,Lyrica 25mg Capsule
671,Gifas Herbal Mixture
672,Symbicort 160/4.5mcg (120 Doses)
673,Zyban 150mg Tablets
674,HbA1c 501 (hemocue) analyzer
675,PCR System MA-6000 (Sansure)
676,Candersartan (Teva) 16mg Tablets
677,Becoactin (30 doses) Tablets
678,IBUPROFEN SUSP 100MG/5ML 100ML UK
679,Lofnac 50mg (10 Doses) Tablets
680,Exylin Dry Cough 100ml Syrup
681,Claforan 1g IV Infusion
682,Foligrow (30 Doses) Capsules
683,Baseboom 100mg Oral Jelly
684,H4U VITAMIN C
685,Magacid (6 Doses) Tablets
686,Mamia Baby Diaper Size 3 Jumbo (98's)
687,Hyponidd (20 Doses) Tablets
688,Pregnancy Test Kit (Digamed) Casette
689,Liqufruta 200ml Syrup
690,Co-Diovan 320mg/25mg Tablets
691,Mercy Cream
692,Zinnat 125mg/5ml 100ml Suspension
693,Day & Night Nurse Capsules
694,Mumfer Chewable (30 Doses) Tablets
695,HEALTHAID OMEGA-3 750MG CAPS
696,Polygel 200ml Suspension
697,MULTIVITAMIN TABS BLISTER 10'S
698,Novagyl 400mg Tablets
699,Diclolex 1% Power Gel
700,Mucolex Adult Expectorant 125ml Syrup
701,Epiderm Cream 30g
702,DIAMICRON MR 30MG TAB
703,Tadol 50mg Capsules
704,Eskafulvin 500mg Tablets
705,ABC Ibuprofen+Paracetamol 100ml susp.
706,Olanzapine (exeter) 10mg tablet
707,Novamol 125mg Suppositories
708,Fleming 625mg Tablets
709,Multivitamin (Ayrtons) 125ml Syrup
710,Folic Acid(Bell London)0.5mg/ml 200ml
711,Tenoretic 100mg/25mg Tablets
