,Region Keywords,Regions,Locations,locs
129,Ea,Eastern,Adukrom,"Adukrom, Eastern"
130,We,Western,Adum Banso,"Adum Banso, Western"
131,We,Western,Adum Dominase,"Adum Dominase, Western"
132,As,Ashanti,Adumanu,"Adumanu, Ashanti"
133,WN,Western North,Adupri,"Adupri, Western North"
134,We,Western,Adusuazo,"Adusuazo, Western"
135,No,Northern,Aduyeli,"Aduyeli, Northern"
136,As,Ashanti,Adwafo,"Adwafo, Ashanti"
137,Ea,Eastern,Adwafo,"Adwafo, Eastern"
138,No,Northern,Afayili,"Afayili, Northern"
139,Vo,Volta,Afegame,"Afegame, Volta"
140,Ce,Central,Afiaso,"Afiaso, Central"
141,Vo,Volta,Afife,"Afife, Volta"
142,Vo,Volta,Aflao,"Aflao, Volta"
143,Ea,Eastern,Afosu,"Afosu, Eastern"
144,As,Ashanti,Aframso (Chirimfa),"Aframso (Chirimfa), Ashanti"
145,Ea,Eastern,Aframso (Kwahu),"Aframso (Kwahu), Eastern"
146,As,Ashanti,Aframso (Kyekyebon),"Aframso (Kyekyebon), Ashanti"
147,We,Western,Afrapokrom,"Afrapokrom, Western"
148,BE,Bono East,Afrefreso,"Afrefreso, Bono East"
149,Vo,Volta,Agave,"Agave, Volta"
150,Vo,Volta,Agavedzi,"Agavedzi, Volta"
151,Vo,Volta,Agbaflome,"Agbaflome, Volta"
152,Vo,Volta,Agbakope,"Agbakope, Volta"
153,Vo,Volta,Agbedrafor,"Agbedrafor, Volta"
154,Sa,Savannah,Agbegikrom,"Agbegikrom, Savannah"
155,Sa,Savannah,Agbelikame No.1,"Agbelikame No.1, Savannah"
156,Bo,Bono,Agbelikame No.2,"Agbelikame No.2, Bono"
157,Vo,Volta,Agbenorxoe,"Agbenorxoe, Volta"
158,GA,Greater Accra,Agbenyegakope,"Agbenyegakope, Greater Accra"
159,Vo,Volta,Agblega,"Agblega, Volta"
160,Vo,Volta,Agblekpui,"Agblekpui, Volta"
161,Vo,Volta,Agbogbome,"Agbogbome, Volta"
162,Vo,Volta,Agbozume,"Agbozume, Volta"
163,Vo,Volta,Agodeke,"Agodeke, Volta"
164,As,Ashanti,Agogo,"Agogo, Ashanti"
165,Vo,Volta,Agome,"Agome, Volta"
166,As,Ashanti,Agona,"Agona, Ashanti"
167,Ce,Central,Agona,"Agona, Central"
168,We,Western,Agona,"Agona, Western"
169,We,Western,Agona Amenfi,"Agona Amenfi, Western"
170,We,Western,Agona Nkwanta,"Agona Nkwanta, Western"
171,Ce,Central,Agona Swedru,"Agona Swedru, Central"
172,Ea,Eastern,Agordeke,"Agordeke, Eastern"
173,Vo,Volta,Agordomi,"Agordomi, Volta"
174,Vo,Volta,Agorko,"Agorko, Volta"
175,Vo,Volta,Agornu Akporkplorte,"Agornu Akporkplorte, Volta"
176,Vo,Volta,Agortime Beh,"Agortime Beh, Volta"
177,Vo,Volta,Agortoe,"Agortoe, Volta"
178,Vo,Volta,Agorvi,"Agorvi, Volta"
179,BE,Bono East,Agosa,"Agosa, Bono East"
180,Ea,Eastern,Agotime,"Agotime, Eastern"
181,Vo,Volta,Agotive,"Agotive, Volta"
182,We,Western,Aguafo,"Aguafo, Western"
183,We,Western,Agyan,"Agyan, Western"
184,Ea,Eastern,Agyata,"Agyata, Eastern"
185,We,Western,Agyeza,"Agyeza, Western"
186,BE,Bono East,Agyina,"Agyina, Bono East"
187,As,Ashanti,Ahansonyewodea,"Ahansonyewodea, Ashanti"
188,Ah,Ahafo,Ahantamo,"Ahantamo, Ahafo"
189,GA,Greater Accra,Ahanya,"Ahanya, Greater Accra"
190,As,Ashanti,Ahenkro,"Ahenkro, Ashanti"
191,WN,Western North,Ahimakrom,"Ahimakrom, Western North"
192,Ea,Eastern,Ahinase,"Ahinase, Eastern"
193,Ot,Oti,Ahinkro,"Ahinkro, Oti"
194,As,Ashanti,Ahinsan,"Ahinsan, Ashanti"
195,We,Western,Ahobre No.1,"Ahobre No.1, Western"
196,We,Western,Ahobre No.2,"Ahobre No.2, Western"
197,As,Ashanti,Ahodwo,"Ahodwo, Ashanti"
198,Bo,Bono,Ahomansia,"Ahomansia, Bono"
199,Ce,Central,Ahotokurom,"Ahotokurom, Central"
200,BE,Bono East,Ahotor,"Ahotor, Bono East"
201,Bo,Bono,Ahwene,"Ahwene, Bono"
202,Ea,Eastern,Ahwerease,"Ahwerease, Eastern"
203,As,Ashanti,Ahwerewa,"Ahwerewa, Ashanti"
204,As,Ashanti,Ahwerewam,"Ahwerewam, Ashanti"
205,As,Ashanti,Ahwiaa,"Ahwiaa, Ashanti"
206,GA,Greater Accra,Ahwiam,"Ahwiam, Greater Accra"
207,We,Western,Ahwitieso,"Ahwitieso, Western"
208,Bo,Bono,Ahyiayem,"Ahyiayem, Bono"
209,As,Ashanti,Ahyireso,"Ahyireso, Ashanti"
210,We,Western,Aiyinase,"Aiyinase, Western"
211,We,Western,Ajomoro Eshiem,"Ajomoro Eshiem, Western"
212,Ce,Central,Ajumako,"Ajumako, Central"
213,Vo,Volta,Akame,"Akame, Volta"
214,Bo,Bono,Akanyakrom,"Akanyakrom, Bono"
215,We,Western,Akatakyi,"Akatakyi, Western"
216,Ce,Central,Akatakyiwa,"Akatakyiwa, Central"
217,Vo,Volta,Akatsi,"Akatsi, Volta"
218,Ea,Eastern,Akenkansu,"Akenkansu, Eastern"
219,Ea,Eastern,Akim Asene,"Akim Asene, Eastern"
220,Ea,Eastern,Akim Asuboa,"Akim Asuboa, Eastern"
221,Ea,Eastern,Akim Oda,"Akim Oda, Eastern"
222,Ea,Eastern,Akim Swedru,"Akim Swedru, Eastern"
223,BE,Bono East,Akisimasu,"Akisimasu, Bono East"
224,Vo,Volta,Aklakpanu,"Aklakpanu, Volta"
225,Vo,Volta,Akoefe,"Akoefe, Volta"
226,Vo,Volta,Akofafanami,"Akofafanami, Volta"
227,BE,Bono East,Akokoa,"Akokoa, Bono East"
228,Ea,Eastern,Akokoaso,"Akokoaso, Eastern"
229,We,Western,Akokobediaburo,"Akokobediaburo, Western"
230,Ah,Ahafo,Akokobenomnsu,"Akokobenomnsu, Ahafo"
231,Ce,Central,Akonfodi,"Akonfodi, Central"
232,Bo,Bono,Akontanim,"Akontanim, Bono"
233,WN,Western North,Akontombra,"Akontombra, Western North"
234,We,Western,Akonu (Nzema East),"Akonu (Nzema East), Western"
235,Ea,Eastern,Akoraso,"Akoraso, Eastern"
236,We,Western,Akoriso,"Akoriso, Western"
237,Ea,Eastern,Akosombo,"Akosombo, Eastern"
238,Ce,Central,Akosua,"Akosua, Central"
239,As,Ashanti,Akotaa,"Akotaa, Ashanti"
240,Ea,Eastern,Akotuakrom,"Akotuakrom, Eastern"
241,Vo,Volta,Akoviefe,"Akoviefe, Volta"
242,Ot,Oti,Akpafu Mempeasem,"Akpafu Mempeasem, Oti"
243,Ot,Oti,Akpafu Odomi,"Akpafu Odomi, Oti"
244,Ot,Oti,Akpafu Todzi,"Akpafu Todzi, Oti"
245,UE,Upper East,Akpiokyeri,"Akpiokyeri, Upper East"
246,GA,Greater Accra,Akplabanya,"Akplabanya, Greater Accra"
247,Vo,Volta,Akpokope,"Akpokope, Volta"
248,Ot,Oti,Akposo Kabo,"Akposo Kabo, Oti"
249,Ce,Central,Akrampa,"Akrampa, Central"
250,As,Ashanti,Akrantiebesa,"Akrantiebesa, Ashanti"
251,Ah,Ahafo,Akrodie,"Akrodie, Ahafo"
252,BE,Bono East,Akrofonso,"Akrofonso, Bono East"
253,Bo,Bono,Akroforo,"Akroforo, Bono"
254,Vo,Volta,Akrofu Agorve,"Akrofu Agorve, Volta"
255,As,Ashanti,Akrofuom,"Akrofuom, Ashanti"
256,As,Ashanti,Akrokeri,"Akrokeri, Ashanti"
257,As,Ashanti,Akropong,"Akropong, Ashanti"
258,Ea,Eastern,Akropong,"Akropong, Eastern"
259,We,Western,Akropong,"Akropong, Western"
260,Ce,Central,Akropong (Assin),"Akropong (Assin), Central"
261,Ea,Eastern,Akroso,"Akroso, Eastern"
262,Ea,Eastern,Akrusu,"Akrusu, Eastern"
263,As,Ashanti,Akuakrom,"Akuakrom, Ashanti"
264,Ea,Eastern,Akuase,"Akuase, Eastern"
265,BE,Bono East,Akuma,"Akuma, Bono East"
266,As,Ashanti,Akumadan,"Akumadan, Ashanti"
267,BE,Bono East,Akumsa Domase,"Akumsa Domase, Bono East"
268,As,Ashanti,Akutuase,"Akutuase, Ashanti"
269,We,Western,Akutuase,"Akutuase, Western"
270,Ce,Central,Akwamu,"Akwamu, Central"
271,Ea,Eastern,Akwamufie,"Akwamufie, Eastern"
272,As,Ashanti,Akwanserem,"Akwanserem, Ashanti"
273,Ea,Eastern,Akwatia,"Akwatia, Eastern"
274,Ce,Central,Akweley,"Akweley, Central"
275,GA,Greater Accra,Akweteman,"Akweteman, Greater Accra"
276,We,Western,Akwidaa,"Akwidaa, Western"
277,We,Western,Akyempim,"Akyempim, Western"
278,We,Western,Akyenim,"Akyenim, Western"
279,As,Ashanti,Akyerekyekrom,"Akyerekyekrom, Ashanti"
280,We,Western,Akyim,"Akyim, Western"
281,GA,Greater Accra,Alajo,"Alajo, Greater Accra"
282,GA,Greater Accra,Alavanyo,"Alavanyo, Greater Accra"
283,Vo,Volta,Alavanyo Deme,"Alavanyo Deme, Volta"
284,Vo,Volta,Alavanyo Dzogbedze,"Alavanyo Dzogbedze, Volta"
285,Vo,Volta,Alavanyo Kpeme,"Alavanyo Kpeme, Volta"
286,No,Northern,Alfayinga,"Alfayinga, Northern"
287,We,Western,Allengenzulley,"Allengenzulley, Western"
288,GA,Greater Accra,Alorkpem,"Alorkpem, Greater Accra"
289,As,Ashanti,Amakye Bare,"Amakye Bare, Ashanti"
290,Ea,Eastern,Amanase,"Amanase, Eastern"
291,Ce,Central,Amanfopong,"Amanfopong, Central"
292,Ea,Eastern,Amanfro,"Amanfro, Eastern"
293,Ah,Ahafo,Amanfrom,"Amanfrom, Ahafo"
294,Ea,Eastern,Amanfrom Station,"Amanfrom Station, Eastern"
295,Ce,Central,Amanful,"Amanful, Central"
296,We,Western,Amanful,"Amanful, Western"
297,BE,Bono East,Amangoase,"Amangoase, Bono East"
298,Ea,Eastern,Amankwa Tornu,"Amankwa Tornu, Eastern"
299,Ea,Eastern,Amankwakrom,"Amankwakrom, Eastern"
300,Ea,Eastern,Amanokrom,"Amanokrom, Eastern"
301,BE,Bono East,Amantin,"Amantin, Bono East"
302,GA,Greater Accra,Amasaman,"Amasaman, Greater Accra"
303,Bo,Bono,Amasu,"Amasu, Bono"
304,Vo,Volta,Amedzikope,"Amedzikope, Volta"
305,Vo,Volta,Amedzofe,"Amedzofe, Volta"
306,Ea,Eastern,Amfahun,"Amfahun, Eastern"
307,Ce,Central,Amisakrom,"Amisakrom, Central"
308,Ce,Central,Amissano,"Amissano, Central"
309,As,Ashanti,Amoako,"Amoako, Ashanti"
310,We,Western,Amoaku,"Amoaku, Western"
311,Ce,Central,Amoaman,"Amoaman, Central"
312,As,Ashanti,Amoamang,"Amoamang, Ashanti"
313,As,Ashanti,Amoawi,"Amoawi, Ashanti"
314,We,Western,Amokwawsuazo,"Amokwawsuazo, Western"
315,Bo,Bono,Amomaso,"Amomaso, Bono"
316,As,Ashanti,Amormoso,"Amormoso, Ashanti"
317,We,Western,Ampain,"Ampain, Western"
318,Ea,Eastern,Ampedwae,"Ampedwae, Eastern"
319,Ce,Central,Ampenkro,"Ampenkro, Central"
320,Ea,Eastern,Ampofokurom,"Ampofokurom, Eastern"
321,Bo,Bono,Amponsakrom,"Amponsakrom, Bono"
322,GA,Greater Accra,Amrahia,"Amrahia, Greater Accra"
323,As,Ashanti,Amudurasi,"Amudurasi, Ashanti"
324,Vo,Volta,Amutinu,"Amutinu, Volta"
325,Ce,Central,Ananikrom,"Ananikrom, Central"
326,Vo,Volta,Anfoega,"Anfoega, Volta"
327,Vo,Volta,Anfoega Tokome,"Anfoega Tokome, Volta"
328,Vo,Volta,Anfoeta Gbogame,"Anfoeta Gbogame, Volta"
329,Vo,Volta,Anfoeta Tsebi,"Anfoeta Tsebi, Volta"
330,Ce,Central,Anhweansu,"Anhweansu, Central"
331,WN,Western North,Anhwiaa,"Anhwiaa, Western North"
332,WN,Western North,Anhwiam,"Anhwiam, Western North"
333,As,Ashanti,Anhwiaso,"Anhwiaso, Ashanti"
334,WN,Western North,Anhwiaso,"Anhwiaso, Western North"
335,Ce,Central,Aniahu,"Aniahu, Central"
336,Ah,Ahafo,Ankaase,"Ankaase, Ahafo"
337,Ce,Central,Ankaase,"Ankaase, Central"
338,Ea,Eastern,Ankaase,"Ankaase, Eastern"
339,Ot,Oti,Ankaase,"Ankaase, Oti"
340,As,Ashanti,Ankaase (Bekwai),"Ankaase (Bekwai), Ashanti"
341,As,Ashanti,Ankam,"Ankam, Ashanti"
342,Ce,Central,Ankamu,"Ankamu, Central"
343,We,Western,Ankasa,"Ankasa, Western"
344,We,Western,Ankasie,"Ankasie, Western"
345,We,Western,Ankobra Junction Stn.,"Ankobra Junction Stn., Western"
346,Ea,Eastern,Ankomah,"Ankomah, Eastern"
347,WN,Western North,Ankunso,"Ankunso, Western North"
348,We,Western,Ankwaso,"Ankwaso, Western"
349,Vo,Volta,Anlo Afiadenyigba,"Anlo Afiadenyigba, Volta"
350,Ea,Eastern,Anlo Faaso,"Anlo Faaso, Eastern"
351,Vo,Volta,Anloga,"Anloga, Volta"
352,We,Western,Anlomatuope,"Anlomatuope, Western"
353,WN,Western North,Anokokrom,"Anokokrom, Western North"
354,We,Western,Anokyi,"Anokyi, Western"
355,Ce,Central,Anomabo,"Anomabo, Central"
356,Ce,Central,Antado,"Antado, Central"
357,As,Ashanti,Antoa,"Antoa, Ashanti"
358,As,Ashanti,Antoakrom,"Antoakrom, Ashanti"
359,We,Western,Antseambua,"Antseambua, Western"
360,Ea,Eastern,Anum,"Anum, Eastern"
361,GA,Greater Accra,Anumle,"Anumle, Greater Accra"
362,Ah,Ahafo,Anwiam,"Anwiam, Ahafo"
363,As,Ashanti,Anwiankwanta,"Anwiankwanta, Ashanti"
364,As,Ashanti,Anwiaso,"Anwiaso, Ashanti"
365,Ce,Central,Anwiawia,"Anwiawia, Central"
366,Vo,Volta,Anyako,"Anyako, Volta"
367,GA,Greater Accra,Anyakpor,"Anyakpor, Greater Accra"
368,As,Ashanti,Anyanso,"Anyanso, Ashanti"
369,Vo,Volta,Anyanui,"Anyanui, Volta"
370,Ea,Eastern,Anyinam,"Anyinam, Eastern"
371,As,Ashanti,Anyinamso Nos.1&2,"Anyinamso Nos.1&2, Ashanti"
372,Ea,Eastern,Anyinase,"Anyinase, Eastern"
373,Ea,Eastern,Anyinasin,"Anyinasin, Eastern"
374,As,Ashanti,Anyinasuso,"Anyinasuso, Ashanti"
375,Vo,Volta,Anyinawase,"Anyinawase, Volta"
376,Ce,Central,Apaa,"Apaa, Central"
377,As,Ashanti,Apagya,"Apagya, Ashanti"
378,Ce,Central,Apam,"Apam, Central"
379,As,Ashanti,Apapaso,"Apapaso, Ashanti"
380,Ot,Oti,Apaso,"Apaso, Oti"
381,We,Western,Apemanim,"Apemanim, Western"
382,GA,Greater Accra,Apenkwa,"Apenkwa, Greater Accra"
383,Ea,Eastern,Aperade,"Aperade, Eastern"
384,BE,Bono East,Apesika,"Apesika, Bono East"
385,Ot,Oti,Apesokubi,"Apesokubi, Oti"
386,Ce,Central,Apewosika,"Apewosika, Central"
387,We,Western,Apewosika,"Apewosika, Western"
388,Ea,Eastern,Apimsu,"Apimsu, Eastern"
389,Ea,Eastern,Apinamang,"Apinamang, Eastern"
390,Ea,Eastern,Apirede,"Apirede, Eastern"
391,We,Western,Apolonu,"Apolonu, Western"
392,We,Western,Apremdo,"Apremdo, Western"
393,We,Western,Apremeso,"Apremeso, Western"
394,Ea,Eastern,Aprokumase,"Aprokumase, Eastern"
395,WN,Western North,Aquai Allah,"Aquai Allah, Western North"
396,As,Ashanti,Asaam,"Asaam, Ashanti"
397,Vo,Volta,Asadame,"Asadame, Volta"
398,As,Ashanti,Asakraka,"Asakraka, Ashanti"
399,Ea,Eastern,Asakraka,"Asakraka, Eastern"
400,As,Ashanti,Asaman,"Asaman, Ashanti"
401,Ce,Central,Asamang,"Asamang, Central"
402,WN,Western North,Asamang,"Asamang, Western North"
403,As,Ashanti,Asamang (Bekwai),"Asamang (Bekwai), Ashanti"
404,As,Ashanti,Asamang (Sekyere),"Asamang (Sekyere), Ashanti"
405,Ea,Eastern,Asamankese,"Asamankese, Eastern"
406,We,Western,Asankragwa,"Asankragwa, Western"
407,Ea,Eastern,Asantemang,"Asantemang, Eastern"
408,GA,Greater Accra,Asaprochona,"Asaprochona, Greater Accra"
409,As,Ashanti,Asarekrom,"Asarekrom, Ashanti"
410,We,Western,Asasetre (Ellembele),"Asasetre (Ellembele), Western"
411,We,Western,Asasetre (Was.Amenfi),"Asasetre (Was.Amenfi), Western"
412,Ce,Central,Asasitre,"Asasitre, Central"
413,Ah,Ahafo,Asawenso,"Asawenso, Ahafo"
414,WN,Western North,Asawinso,"Asawinso, Western North"
415,Ce,Central,Asebu,"Asebu, Central"
416,We,Western,Asemasa,"Asemasa, Western"
417,We,Western,Asemko (Ahanta),"Asemko (Ahanta), Western"
418,We,Western,Asemko (Ellembele),"Asemko (Ellembele), Western"
419,WN,Western North,Asemkrom,"Asemkrom, Western North"
420,As,Ashanti,Asempanaye,"Asempanaye, Ashanti"
421,Bo,Bono,Asempanaye,"Asempanaye, Bono"
422,Ce,Central,Asempanyin,"Asempanyin, Central"
423,Ea,Eastern,Aseseeso,"Aseseeso, Eastern"
424,Ea,Eastern,Asesewa,"Asesewa, Eastern"
425,GA,Greater Accra,Ashaiman,"Ashaiman, Greater Accra"
426,GA,Greater Accra,Ashalaja,"Ashalaja, Greater Accra"
427,GA,Greater Accra,Ashaley Botwe,"Ashaley Botwe, Greater Accra"
428,Ot,Oti,Ashiabre,"Ashiabre, Oti"
429,WN,Western North,Ashiem,"Ashiem, Western North"
430,GA,Greater Accra,Ashieye,"Ashieye, Greater Accra"
431,GA,Greater Accra,Ashongman,"Ashongman, Greater Accra"
432,Ea,Eastern,Asiakwa,"Asiakwa, Eastern"
433,We,Western,Asikafoambantem,"Asikafoambantem, Western"
434,Bo,Bono,Asikasu,"Asikasu, Bono"
435,Ea,Eastern,Asikasu,"Asikasu, Eastern"
436,Ea,Eastern,Asikasu Odumase,"Asikasu Odumase, Eastern"
437,Ce,Central,Asikuma,"Asikuma, Central"
438,As,Ashanti,Asisiriwa,"Asisiriwa, Ashanti"
439,As,Ashanti,Asiwa,"Asiwa, Ashanti"
440,As,Ashanti,Asokore,"Asokore, Ashanti"
441,Ea,Eastern,Asokore,"Asokore, Eastern"
442,As,Ashanti,Asokore Mampong,"Asokore Mampong, Ashanti"
443,As,Ashanti,Asokwa,"Asokwa, Ashanti"
444,Ce,Central,Asokwa,"Asokwa, Central"
445,As,Ashanti,Asonomaso,"Asonomaso, Ashanti"
446,As,Ashanti,Asotwe,"Asotwe, Ashanti"
447,Ce,Central,Assasan,"Assasan, Central"
448,Ce,Central,Assin Achiase,"Assin Achiase, Central"
449,Ce,Central,Assin Adubiase,"Assin Adubiase, Central"
450,Ce,Central,Assin Akrofuom,"Assin Akrofuom, Central"
451,Ce,Central,Assin Anyinabrim,"Assin Anyinabrim, Central"
452,Ce,Central,Assin Asempanaye,"Assin Asempanaye, Central"
453,Ce,Central,Assin Bereku,"Assin Bereku, Central"
454,Ce,Central,Assin Besease,"Assin Besease, Central"
455,Ce,Central,Assin Brofoyedur,"Assin Brofoyedur, Central"
456,Ce,Central,Assin Domeabra,"Assin Domeabra, Central"
457,Ce,Central,Assin Foso,"Assin Foso, Central"
458,Ce,Central,Assin Juaso,"Assin Juaso, Central"
459,Ce,Central,Assin Kyinso,"Assin Kyinso, Central"
460,Ce,Central,Assin Manso,"Assin Manso, Central"
461,Ce,Central,Assin Nsuta,"Assin Nsuta, Central"
462,Ce,Central,Assin Nyankomasi,"Assin Nyankomasi, Central"
